id,name,parent
260,Dawan Klod,21.0
261,Delod Berawah,43.0
262,Delod Peken,63.0
263,Demulih,62.0
264,Denbantas,63.0
265,Dencarik,13.0
266,Depeha,35.0
267,Duda,54.0
268,Duda Timur,54.0
269,Duda Utara,54.0
270,Dukuh,34.0
271,Ekasari,41.0
272,Gadung Sari,57.0
273,Gadungan,57.0
274,Galungan,53.0
275,Gegelang,39.0
276,Gelgel,33.0
277,Geluntung,40.0
278,Gerokgak,26.0
279,Gesing,13.0
280,Getakan,14.0
281,Getasan,50.0
282,Gianyar,27.0
283,Gilimanuk,41.0
284,Giri Emas,53.0
285,Gitgit,60.0
286,Gobleg,13.0
287,Gubug,63.0
288,Gulingan,44.0
289,Gumbrih,48.0
290,Gunaksa,21.0
291,Gunung Salak,57.0
292,Gunungbau,32.0
293,Gunungsari,58.0
294,Guwang,61.0
295,Jagapati,11.0
296,Jagaraga,53.0
297,Jatiluwih,49.0
298,Jegu,49.0
299,Jehem,67.0
300,Jelijih Punggang,51.0
301,Jimbaran,37.0
302,Jinengdalem,19.0
303,Joanyar,58.0
304,Julah,66.0
305,Jumpai,33.0
306,Jungutan,17.0
307,Jungutbatu,46.0
308,Kaba-kaba,30.0
309,Kaliakah,45.0
310,Kalianget,58.0
311,Kaliasem,13.0
312,Kalisada,58.0
313,Kaliuntu,19.0
314,Kamasan,33.0
315,Kampung Anyar,19.0
316,Kampung Baru,19.0
317,Kampung Bugis,19.0
318,Kampung Gelgel,33.0
319,Kampung Kajanan,19.0
320,Kampung Kusamba,21.0
321,Kampung Singaraja,19.0
322,Kampung Toyapakeh,46.0
323,Kapal,44.0
324,Karangasem,29.0
325,Karya Sari,51.0
326,Katung,32.0
327,Kawan,12.0
328,Kayubihi,12.0
329,Kayuputih,13.0
330,Kayuputih,60.0
331,Kebon Padangan,51.0
332,Kedewatan,68.0
333,Kediri,30.0
334,Kedis,20.0
335,Kedisan,32.0
336,Kedisan,65.0
337,Kedonganan,36.0
338,Kekeran,44.0
339,Kekeran,20.0
340,Kelating,31.0
341,Keliki,65.0
342,Kelusa,47.0
343,Kemenuh,61.0
344,Kenderan,65.0
345,Kendran,19.0
346,Keramas,18.0
347,Kerambitan,31.0
348,Kerobokan,38.0
349,Kerobokan,53.0
350,Kerobokan Kaja,38.0
351,Kerobokan Kelod,38.0
